order_id,order_date,ship_date,ship_mode,customer_id,country,city,state,postal_code,region
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,United States,New Albany,Indiana,47150,Central
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,United States,New York City,New York,10024,East
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,United States,Troy,New York,12180,East
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,United States,Los Angeles,California,90004,West
US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,United States,Chicago,Illinois,60610,Central
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,United States,Gilbert,Arizona,85234,West
CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,United States,Springfield,Virginia,22153,South
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,United States,New York City,New York,10009,East
CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,United States,Jackson,Michigan,49201,Central
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,United States,Memphis,Tennessee,38109,South
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,United States,Houston,Texas,77041,Central
US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,United States,Houston,Texas,77070,Central
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,United States,Decatur,Alabama,35601,South
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,United States,San Francisco,California,94122,West
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,United States,Durham,North Carolina,27707,South
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,United States,Chicago,Illinois,60623,Central
CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,United States,Columbia,South Carolina,29203,South
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,United States,Rochester,Minnesota,55901,Central
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,United States,Houston,Texas,77095,Central
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,United States,Los Angeles,California,90036,West
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,United States,Minneapolis,Minnesota,55407,Central
US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,United States,Portland,Oregon,97206,West
CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,United States,New York City,New York,10009,East
CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,United States,San Francisco,California,94122,West
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,United States,Saint Paul,Minnesota,55106,Central
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,United States,Chicago,Illinois,60610,Central
CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,United States,Rochester,Minnesota,55901,Central
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,United States,Aurora,Colorado,80013,West
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,United States,Charlotte,North Carolina,28205,South
CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,United States,Orland Park,Illinois,60462,Central
CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,United States,New York City,New York,10035,East
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,United States,Urbandale,Iowa,50322,Central
CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,United States,Columbus,Ohio,43229,East
CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,United States,Seattle,Washington,98103,West
US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,United States,Bristol,Tennessee,37620,South
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,United States,Wilmington,Delaware,19805,East
US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,United States,Houston,Texas,77041,Central
US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,United States,Bloomington,Illinois,61701,Central
US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,United States,Phoenix,Arizona,85023,West
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,United States,Los Angeles,California,90004,West
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,United States,Columbus,Ohio,43229,East
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,United States,Roseville,California,95661,West
CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,United States,Philadelphia,Pennsylvania,19140,East
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,United States,San Francisco,California,94122,West
CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,United States,Independence,Missouri,64055,Central
CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,United States,Pasadena,California,91104,West
CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,United States,Newark,Ohio,43055,East
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,United States,Franklin,Wisconsin,53132,Central
CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,United States,Scottsdale,Arizona,85254,West
CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,United States,San Jose,California,95123,West
CA-2015-118948,2015-05-28,2015-06-03,Standard Class,NK-18490,United States,Seattle,Washington,98105,West
CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,United States,Seattle,Washington,98115,West
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,United States,Edmond,Oklahoma,73034,Central
CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,United States,Los Angeles,California,90045,West
CA-2015-119697,2015-12-28,2015-12-31,Second Class,EM-13960,United States,Philadelphia,Pennsylvania,19134,East
CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,United States,Carlsbad,New Mexico,88220,West
CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,United States,Seattle,Washington,98115,West
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,United States,San Antonio,Texas,78207,Central
CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,United States,Los Angeles,California,90004,West
US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,United States,Chicago,Illinois,60623,Central
US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,United States,Houston,Texas,77036,Central
US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,United States,Newark,Ohio,43055,East
CA-2015-137225,2015-12-15,2015-12-19,Standard Class,JK-15640,United States,New York City,New York,10009,East
CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,United States,Decatur,Illinois,62521,Central
CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,United States,Monroe,Louisiana,71203,South
CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,United States,Fairfield,Connecticut,6824,East
CA-2014-123260,2014-08-26,2014-08-30,Standard Class,FM-14290,United States,Los Angeles,California,90032,West
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,United States,Grand Prairie,Texas,75051,Central
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,United States,New York City,New York,10035,East
CA-2015-131457,2015-10-31,2015-11-06,Standard Class,MZ-17515,United States,Redlands,California,92374,West
CA-2014-140004,2014-03-21,2014-03-25,Standard Class,CB-12025,United States,Hamilton,Ohio,45011,East
CA-2017-107720,2017-11-06,2017-11-13,Standard Class,VM-21685,United States,Westfield,New Jersey,7090,East
US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,United States,Philadelphia,Pennsylvania,19120,East
CA-2017-105074,2017-06-24,2017-06-29,Standard Class,MB-17305,United States,Akron,Ohio,44312,East
CA-2014-133690,2014-08-03,2014-08-05,First Class,BS-11755,United States,Denver,Colorado,80219,West
US-2017-116701,2017-12-17,2017-12-21,Second Class,LC-17140,United States,Dallas,Texas,75220,Central
CA-2017-126382,2017-06-03,2017-06-07,Standard Class,HK-14890,United States,Franklin,Tennessee,37064,South
CA-2017-108329,2017-12-09,2017-12-14,Standard Class,LE-16810,United States,Whittier,California,90604,West
CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,United States,Saginaw,Michigan,48601,Central
CA-2015-101007,2015-02-09,2015-02-13,Second Class,MS-17980,United States,Dallas,Texas,75220,Central
CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,United States,Medina,Ohio,44256,East
CA-2016-130162,2016-10-28,2016-11-01,Standard Class,JH-15910,United States,Los Angeles,California,90032,West
CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,United States,Dublin,Ohio,43017,East
CA-2015-163055,2015-08-09,2015-08-16,Standard Class,DS-13180,United States,Detroit,Michigan,48227,Central
US-2015-145436,2015-02-28,2015-03-04,Standard Class,VD-21670,United States,Columbia,Tennessee,38401,South
US-2014-156216,2014-09-13,2014-09-17,Standard Class,EA-14035,United States,Charlotte,North Carolina,28205,South
US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,United States,Tampa,Florida,33614,South
CA-2017-160514,2017-11-12,2017-11-16,Standard Class,DB-13120,United States,Santa Clara,California,95051,West
CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,United States,Chicago,Illinois,60610,Central
CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,United States,Lakeville,Minnesota,55044,Central
CA-2016-154739,2016-12-10,2016-12-15,Second Class,LH-17155,United States,San Francisco,California,94109,West
CA-2016-145625,2016-09-11,2016-09-17,Standard Class,KC-16540,United States,San Diego,California,92037,West
CA-2016-146941,2016-12-10,2016-12-13,First Class,DL-13315,United States,New York City,New York,10024,East
US-2015-159982,2015-11-28,2015-12-04,Standard Class,DR-12880,United States,Chicago,Illinois,60623,Central
CA-2017-163139,2017-12-01,2017-12-03,Second Class,CC-12670,United States,New York City,New York,10009,East
US-2017-155299,2017-06-08,2017-06-12,Standard Class,Dl-13600,United States,Pasadena,Texas,77506,Central
US-2014-106992,2014-09-19,2014-09-21,Second Class,SB-20290,United States,Houston,Texas,77036,Central
CA-2016-125318,2016-06-06,2016-06-13,Standard Class,RC-19825,United States,Chicago,Illinois,60610,Central
CA-2015-155040,2015-11-10,2015-11-15,Standard Class,AH-10210,United States,Brentwood,California,94513,West
CA-2017-136826,2017-06-16,2017-06-20,Standard Class,CB-12535,United States,Chapel Hill,North Carolina,27514,South
CA-2016-111010,2016-01-22,2016-01-28,Standard Class,PG-18895,United States,Morristown,New Jersey,7960,East
US-2017-145366,2017-12-09,2017-12-13,Standard Class,CA-12310,United States,Cincinnati,Ohio,45231,East
CA-2017-163979,2017-12-28,2018-01-02,Second Class,KH-16690,United States,San Francisco,California,94110,West
CA-2015-155334,2015-07-30,2015-07-31,First Class,HA-14920,United States,San Francisco,California,94109,West
CA-2017-118136,2017-09-16,2017-09-17,First Class,BB-10990,United States,Inglewood,California,90301,West
CA-2017-132976,2017-10-13,2017-10-17,Standard Class,AG-10495,United States,Philadelphia,Pennsylvania,19140,East
US-2015-161991,2015-09-26,2015-09-28,Second Class,SC-20725,United States,Houston,Texas,77070,Central
CA-2015-130890,2015-11-02,2015-11-06,Standard Class,JO-15280,United States,Los Angeles,California,90004,West
CA-2015-130883,2015-09-26,2015-10-02,Standard Class,TB-21520,United States,Portland,Oregon,97206,West
CA-2016-112697,2016-12-18,2016-12-20,Second Class,AH-10195,United States,Tamarac,Florida,33319,South
CA-2016-110772,2016-11-20,2016-11-24,Second Class,NZ-18565,United States,Columbus,Ohio,43229,East
CA-2014-111451,2014-12-26,2014-12-28,First Class,KL-16555,United States,Colorado Springs,Colorado,80906,West
CA-2016-142545,2016-10-28,2016-11-03,Standard Class,JD-15895,United States,Belleville,New Jersey,7109,East
US-2017-152380,2017-11-19,2017-11-23,Standard Class,JH-15910,United States,Chicago,Illinois,60623,Central
CA-2015-144253,2015-05-04,2015-05-09,Second Class,AS-10225,United States,New York City,New York,10024,East
CA-2014-130960,2014-12-30,2015-01-04,Standard Class,KB-16600,United States,Taylor,Michigan,48180,Central
CA-2014-111003,2014-06-01,2014-06-06,Standard Class,CR-12625,United States,Lakewood,New Jersey,8701,East
CA-2017-126774,2017-04-15,2017-04-17,First Class,SH-20395,United States,Arlington,Virginia,22204,South
CA-2016-142902,2016-09-12,2016-09-14,Second Class,BP-11185,United States,Arvada,Colorado,80004,West
CA-2014-120887,2014-09-27,2014-10-03,Standard Class,TS-21205,United States,Hackensack,New Jersey,7601,East
CA-2014-167850,2014-08-09,2014-08-16,Standard Class,AG-10525,United States,Saint Petersburg,Florida,33710,South
CA-2014-164259,2014-12-28,2014-12-30,First Class,SP-20860,United States,Philadelphia,Pennsylvania,19143,East
CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,United States,New York City,New York,10024,East
CA-2014-156601,2014-09-19,2014-09-24,Standard Class,FA-14230,United States,Long Beach,California,90805,West
CA-2016-162138,2016-04-23,2016-04-27,Standard Class,GK-14620,United States,Hesperia,California,92345,West
CA-2017-153339,2017-11-03,2017-11-05,Second Class,DJ-13510,United States,Murfreesboro,Tennessee,37130,South
US-2016-141544,2016-08-30,2016-09-01,First Class,PO-18850,United States,Philadelphia,Pennsylvania,19143,East
US-2016-150147,2016-04-25,2016-04-29,Second Class,JL-15850,United States,Philadelphia,Pennsylvania,19134,East
CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,United States,Los Angeles,California,90045,West
CA-2014-129924,2014-07-12,2014-07-17,Standard Class,AC-10420,United States,San Francisco,California,94122,West
CA-2015-128167,2015-06-22,2015-06-26,Second Class,KL-16645,United States,Layton,Utah,84041,West
CA-2014-122336,2014-04-13,2014-04-17,Second Class,JD-15895,United States,Philadelphia,Pennsylvania,19140,East
US-2015-120712,2015-12-20,2015-12-24,Standard Class,CS-12130,United States,Austin,Texas,78745,Central
CA-2017-169901,2017-06-15,2017-06-19,Standard Class,CC-12550,United States,San Francisco,California,94122,West
CA-2017-134306,2017-07-08,2017-07-12,Standard Class,TD-20995,United States,Lowell,Massachusetts,1852,East
CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,United States,New York City,New York,10009,East
CA-2016-138520,2016-04-08,2016-04-13,Standard Class,JL-15505,United States,New York City,New York,10035,East
CA-2016-130001,2016-04-23,2016-04-28,Standard Class,HK-14890,United States,Charlotte,North Carolina,28205,South
CA-2017-155698,2017-03-08,2017-03-11,First Class,VB-21745,United States,Columbus,Georgia,31907,South
CA-2017-144904,2017-09-25,2017-10-01,Standard Class,KW-16435,United States,New York City,New York,10009,East
CA-2014-123344,2014-09-24,2014-09-29,Standard Class,JD-16060,United States,San Francisco,California,94109,West
CA-2016-155516,2016-10-21,2016-10-21,Same Day,MK-17905,United States,Manchester,Connecticut,6040,East
CA-2017-104745,2017-05-29,2017-06-04,Standard Class,GT-14755,United States,Harlingen,Texas,78550,Central
US-2014-119137,2014-07-23,2014-07-27,Standard Class,AG-10900,United States,Tucson,Arizona,85705,West
US-2016-134656,2016-09-28,2016-10-01,First Class,MM-18280,United States,Quincy,Illinois,62301,Central
US-2017-134481,2017-08-27,2017-09-01,Standard Class,AR-10405,United States,Franklin,Massachusetts,2038,East
CA-2015-130792,2015-04-28,2015-05-05,Standard Class,RA-19915,United States,Houston,Texas,77095,Central
CA-2016-134775,2016-10-28,2016-10-29,First Class,AS-10285,United States,San Francisco,California,94109,West
CA-2015-125395,2015-06-26,2015-06-29,Second Class,LA-16780,United States,Taylor,Michigan,48180,Central
US-2015-168935,2015-11-27,2015-12-02,Standard Class,DO-13435,United States,Pembroke Pines,Florida,33024,South
CA-2015-122756,2015-12-03,2015-12-07,Standard Class,DK-13225,United States,Philadelphia,Pennsylvania,19140,East
CA-2014-115973,2014-11-24,2014-11-26,First Class,NG-18430,United States,Cincinnati,Ohio,45231,East
CA-2017-101798,2017-12-11,2017-12-15,Standard Class,MV-18190,United States,New York City,New York,10009,East
US-2014-135972,2014-09-21,2014-09-23,Second Class,JG-15115,United States,Des Moines,Washington,98198,West
US-2014-134971,2014-06-07,2014-06-10,Second Class,BP-11095,United States,Peoria,Illinois,61604,Central
CA-2017-102946,2017-06-30,2017-07-05,Standard Class,VP-21730,United States,Las Vegas,Nevada,89115,West
CA-2017-165603,2017-10-17,2017-10-19,Second Class,SS-20140,United States,Warwick,Rhode Island,2886,East
CA-2015-122259,2015-10-31,2015-11-04,Standard Class,HP-14815,United States,Jackson,Michigan,49201,Central
CA-2016-108987,2016-09-08,2016-09-10,Second Class,AG-10675,United States,Houston,Texas,77036,Central
CA-2014-113166,2014-12-24,2014-12-26,First Class,LF-17185,United States,Miami,Florida,33180,South
CA-2014-155208,2014-04-16,2014-04-20,Standard Class,SP-20650,United States,Wilmington,North Carolina,28403,South
CA-2017-117933,2017-12-24,2017-12-29,Standard Class,RF-19840,United States,New York City,New York,10024,East
CA-2017-117457,2017-12-08,2017-12-12,Standard Class,KH-16510,United States,San Francisco,California,94110,West
CA-2017-142636,2017-11-03,2017-11-07,Standard Class,KC-16675,United States,Seattle,Washington,98105,West
CA-2017-122105,2017-06-24,2017-06-28,Standard Class,CJ-12010,United States,Huntington Beach,California,92646,West
CA-2016-148796,2016-04-14,2016-04-18,Standard Class,PB-19150,United States,Los Angeles,California,90004,West
CA-2017-154816,2017-11-06,2017-11-10,Standard Class,VB-21745,United States,Richmond,Kentucky,40475,South
CA-2017-110478,2017-03-04,2017-03-09,Standard Class,SP-20860,United States,Los Angeles,California,90045,West
CA-2014-142048,2014-06-22,2014-06-25,First Class,JE-15745,United States,Louisville,Colorado,80027,West
CA-2017-125388,2017-10-19,2017-10-23,Standard Class,MP-17965,United States,Lawrence,Massachusetts,1841,East
CA-2017-155705,2017-08-21,2017-08-23,Second Class,NF-18385,United States,Jackson,Mississippi,39212,South
CA-2017-149160,2017-11-23,2017-11-26,Second Class,JM-15265,United States,Canton,Michigan,48187,Central
CA-2014-101476,2014-09-12,2014-09-13,First Class,SD-20485,United States,New Rochelle,New York,10801,East
CA-2017-152275,2017-10-01,2017-10-08,Standard Class,KH-16630,United States,San Antonio,Texas,78207,Central
US-2016-123750,2016-04-15,2016-04-21,Standard Class,RB-19795,United States,Gastonia,North Carolina,28052,South
CA-2016-127369,2016-06-06,2016-06-07,First Class,DB-13060,United States,Lowell,Massachusetts,1852,East
US-2014-150574,2014-12-19,2014-12-25,Standard Class,MK-18160,United States,Jacksonville,Florida,32216,South
CA-2016-147375,2016-06-12,2016-06-14,Second Class,PO-19180,United States,Chicago,Illinois,60623,Central
CA-2017-130043,2017-09-15,2017-09-19,Standard Class,BB-11545,United States,Houston,Texas,77070,Central
CA-2017-157252,2017-01-20,2017-01-23,Second Class,CV-12805,United States,New York City,New York,10024,East
CA-2016-115756,2016-09-05,2016-09-07,Second Class,PK-19075,United States,Detroit,Michigan,48227,Central
CA-2017-154214,2017-03-20,2017-03-25,Second Class,TB-21595,United States,Columbus,Indiana,47201,Central
CA-2016-166674,2016-04-01,2016-04-03,Second Class,RB-19360,United States,Auburn,New York,13021,East
CA-2017-147277,2017-10-20,2017-10-24,Standard Class,EB-13705,United States,Akron,Ohio,44312,East
CA-2016-100153,2016-12-13,2016-12-17,Standard Class,KH-16630,United States,Norman,Oklahoma,73071,Central
US-2014-110674,2014-02-12,2014-02-18,Standard Class,SC-20095,United States,Concord,California,94521,West
US-2016-157945,2016-09-26,2016-10-01,Standard Class,NF-18385,United States,Decatur,Illinois,62521,Central
CA-2015-109638,2015-12-15,2015-12-22,Standard Class,JH-15985,United States,Seattle,Washington,98115,West
CA-2016-109869,2016-04-22,2016-04-29,Standard Class,TN-21040,United States,Phoenix,Arizona,85023,West
US-2015-101399,2015-01-17,2015-01-24,Standard Class,JS-15940,United States,Park Ridge,Illinois,60068,Central
CA-2017-154907,2017-03-31,2017-04-04,Standard Class,DS-13180,United States,Amarillo,Texas,79109,Central
US-2016-100419,2016-12-16,2016-12-20,Second Class,CC-12670,United States,Chicago,Illinois,60610,Central
CA-2015-154144,2015-12-20,2015-12-24,Standard Class,MH-17785,United States,Lindenhurst,New York,11757,East
CA-2014-144666,2014-11-09,2014-11-11,Second Class,JP-15520,United States,San Francisco,California,94110,West
CA-2016-103891,2016-07-12,2016-07-19,Standard Class,KH-16690,United States,Los Angeles,California,90008,West
CA-2016-152632,2016-10-27,2016-11-02,Standard Class,JE-15475,United States,Troy,New York,12180,East
CA-2016-100790,2016-06-26,2016-07-02,Standard Class,JG-15805,United States,New York City,New York,10024,East
CA-2014-134677,2014-10-06,2014-10-10,Standard Class,XP-21865,United States,San Diego,California,92024,West
CA-2014-127691,2014-07-22,2014-07-27,Standard Class,EM-14065,United States,New York City,New York,10024,East
CA-2017-140963,2017-06-10,2017-06-13,First Class,MT-18070,United States,Los Angeles,California,90045,West
CA-2014-154627,2014-10-29,2014-10-31,First Class,SA-20830,United States,Chicago,Illinois,60610,Central
CA-2014-133753,2014-06-09,2014-06-13,Second Class,CW-11905,United States,Huntsville,Texas,77340,Central
CA-2014-113362,2014-09-14,2014-09-19,Standard Class,AJ-10960,United States,Rochester,New York,14609,East
CA-2016-169166,2016-05-09,2016-05-14,Standard Class,SS-20590,United States,Seattle,Washington,98115,West
US-2016-120929,2016-03-18,2016-03-21,Second Class,RO-19780,United States,Memphis,Tennessee,38109,South
CA-2015-134782,2015-12-27,2015-12-31,Standard Class,MD-17350,United States,Fayetteville,Arkansas,72701,South
CA-2016-126158,2016-07-25,2016-07-31,Standard Class,SC-20095,United States,Costa Mesa,California,92627,West
US-2016-105578,2016-05-30,2016-06-04,Standard Class,MY-17380,United States,Parker,Colorado,80134,West
CA-2017-134978,2017-11-12,2017-11-15,Second Class,EB-13705,United States,New York City,New York,10024,East
CA-2015-145352,2015-03-16,2015-03-22,Standard Class,CM-12385,United States,Atlanta,Georgia,30318,South
CA-2017-135307,2017-11-26,2017-11-27,First Class,LS-17245,United States,Gladstone,Missouri,64118,Central
CA-2016-106341,2016-10-20,2016-10-23,First Class,LF-17185,United States,Newark,Ohio,43055,East
CA-2017-163405,2017-12-21,2017-12-25,Standard Class,BN-11515,United States,Los Angeles,California,90049,West
CA-2017-127432,2017-01-22,2017-01-27,Standard Class,AD-10180,United States,Great Falls,Montana,59405,West
CA-2015-157812,2015-03-22,2015-03-26,Standard Class,DB-13210,United States,Houston,Texas,77041,Central
CA-2017-145142,2017-01-23,2017-01-25,First Class,MC-17605,United States,Detroit,Michigan,48234,Central
US-2016-139486,2016-05-21,2016-05-23,First Class,LH-17155,United States,Los Angeles,California,90032,West
CA-2015-158792,2015-12-26,2016-01-02,Standard Class,BD-11605,United States,Lawrence,Massachusetts,1841,East
CA-2017-113558,2017-10-21,2017-10-26,Standard Class,PH-18790,United States,Lakeland,Florida,33801,South
US-2015-138303,2015-09-03,2015-09-07,Standard Class,MG-18145,United States,Philadelphia,Pennsylvania,19134,East
CA-2015-102848,2015-11-07,2015-11-09,Second Class,KB-16240,United States,Los Angeles,California,90036,West
US-2017-129441,2017-09-07,2017-09-11,Standard Class,JC-15340,United States,Los Angeles,California,90032,West
CA-2016-168753,2016-05-29,2016-06-01,Second Class,RL-19615,United States,Montgomery,Alabama,36116,South
CA-2016-126613,2016-07-10,2016-07-16,Standard Class,AA-10375,United States,Mesa,Arizona,85204,West
US-2017-122637,2017-09-03,2017-09-08,Second Class,EP-13915,United States,Chicago,Illinois,60653,Central
CA-2015-147851,2015-12-03,2015-12-08,Standard Class,MP-17470,United States,New York City,New York,10009,East
CA-2015-134894,2015-12-07,2015-12-11,Standard Class,DK-12985,United States,Henderson,Kentucky,42420,South
CA-2014-140795,2014-02-01,2014-02-03,First Class,BD-11500,United States,Green Bay,Wisconsin,54302,Central
CA-2016-136924,2016-07-14,2016-07-17,First Class,ES-14080,United States,Tucson,Arizona,85705,West
US-2015-120161,2015-12-18,2015-12-23,Standard Class,LM-17065,United States,Springfield,Ohio,45503,East
CA-2014-103849,2014-05-11,2014-05-16,Standard Class,PG-18895,United States,Fort Worth,Texas,76106,Central
CA-2017-162929,2017-11-19,2017-11-22,First Class,AS-10135,United States,New York City,New York,10035,East
CA-2015-113173,2015-11-15,2015-11-17,Second Class,DK-13225,United States,Chicago,Illinois,60653,Central
CA-2016-136406,2016-04-15,2016-04-17,Second Class,BD-11320,United States,San Francisco,California,94110,West
CA-2017-112774,2017-09-11,2017-09-12,First Class,RC-19960,United States,Jacksonville,Florida,32216,South
CA-2017-101945,2017-11-24,2017-11-28,Standard Class,GT-14710,United States,Houston,Texas,77070,Central
CA-2017-100650,2017-06-29,2017-07-03,Second Class,DK-13225,United States,Anaheim,California,92804,West
CA-2014-155852,2014-03-03,2014-03-07,Second Class,AJ-10945,United States,Wilmington,North Carolina,28403,South
CA-2016-113243,2016-06-10,2016-06-15,Standard Class,OT-18730,United States,Los Angeles,California,90045,West
CA-2017-118731,2017-11-20,2017-11-22,Second Class,LP-17080,United States,San Francisco,California,94110,West
CA-2014-145576,2014-09-14,2014-09-18,Second Class,CA-12775,United States,Tampa,Florida,33614,South
